input_mode;iteration;pid;delay;num_targets;target_w;target_d;target_id;miss_clicks;timestamp
WINK;1;5;0;10;80;400;1;0;1782060624262
WINK;1;5;0;10;80;400;2;0;1782060625322
WINK;1;5;0;10;80;400;3;0;1782060626297
WINK;1;5;0;10;80;400;4;0;1782060627192
WINK;1;5;0;10;80;400;5;0;1782060627985
WINK;1;5;0;10;80;400;6;0;1782060628996
WINK;1;5;0;10;80;400;7;0;1782060629974
WINK;1;5;0;10;80;400;8;0;1782060630901
WINK;1;5;0;10;80;400;9;0;1782060631911
WINK;1;5;0;10;80;400;10;0;1782060632975
WINK;2;5;0;10;80;400;1;0;1782060635535
WINK;2;5;0;10;80;400;2;0;1782060636393
WINK;2;5;0;10;80;400;3;0;1782060637266
WINK;2;5;0;10;80;400;4;0;1782060638126
WINK;2;5;0;10;80;400;5;0;1782060638915
WINK;2;5;0;10;80;400;6;0;1782060639794
WINK;2;5;0;10;80;400;7;0;1782060640586
WINK;2;5;0;10;80;400;8;0;1782060641313
WINK;2;5;0;10;80;400;9;0;1782060642106
WINK;2;5;0;10;80;400;10;0;1782060642916
WINK;3;5;0;10;80;400;1;0;1782060647599
WINK;3;5;0;10;80;400;2;0;1782060648660
WINK;3;5;0;10;80;400;3;0;1782060649317
WINK;3;5;0;10;80;400;4;0;1782060650057
WINK;3;5;0;10;80;400;5;0;1782060650711
WINK;3;5;0;10;80;400;6;0;1782060651585
WINK;3;5;0;10;80;400;7;0;1782060652323
WINK;3;5;0;10;80;400;8;1;1782060653048
WINK;3;5;0;10;80;400;9;0;1782060653855
WINK;3;5;0;10;80;400;10;0;1782060654577
