input_mode;iteration;pid;delay;num_targets;target_w;target_d;target_id;miss_clicks;timestamp
WINK;1;5;0;10;55;400;1;0;1782060493682
WINK;1;5;0;10;55;400;2;0;1782060495198
WINK;1;5;0;10;55;400;3;0;1782060496328
WINK;1;5;0;10;55;400;4;0;1782060497473
WINK;1;5;0;10;55;400;5;0;1782060498566
WINK;1;5;0;10;55;400;6;0;1782060499851
WINK;1;5;0;10;55;400;7;0;1782060500930
WINK;1;5;0;10;55;400;8;0;1782060502221
WINK;1;5;0;10;55;400;9;0;1782060503348
WINK;1;5;0;10;55;400;10;0;1782060504476
WINK;2;5;0;10;55;400;1;0;1782060508395
WINK;2;5;0;10;55;400;2;0;1782060509475
WINK;2;5;0;10;55;400;3;0;1782060510585
WINK;2;5;0;10;55;400;4;0;1782060511799
WINK;2;5;0;10;55;400;5;0;1782060513644
WINK;2;5;0;10;55;400;6;0;1782060515342
WINK;2;5;0;10;55;400;7;0;1782060516673
WINK;2;5;0;10;55;400;8;0;1782060517833
WINK;2;5;0;10;55;400;9;0;1782060519030
WINK;2;5;0;10;55;400;10;0;1782060520995
WINK;3;5;0;10;55;400;1;0;1782060524192
WINK;3;5;0;10;55;400;2;0;1782060525320
WINK;3;5;0;10;55;400;3;0;1782060526718
WINK;3;5;0;10;55;400;4;0;1782060528185
WINK;3;5;0;10;55;400;5;0;1782060529569
WINK;3;5;0;10;55;400;6;0;1782060530629
WINK;3;5;0;10;55;400;7;0;1782060532982
WINK;3;5;0;10;55;400;8;0;1782060534259
WINK;3;5;0;10;55;400;9;0;1782060535521
WINK;3;5;0;10;55;400;10;0;1782060536852
