input_mode;iteration;pid;delay;num_targets;target_w;target_d;target_id;miss_clicks;timestamp
WINK;1;5;0;10;80;300;1;0;1782060590824
WINK;1;5;0;10;80;300;2;0;1782060591631
WINK;1;5;0;10;80;300;3;0;1782060592491
WINK;1;5;0;10;80;300;4;0;1782060593547
WINK;1;5;0;10;80;300;5;0;1782060594625
WINK;1;5;0;10;80;300;6;0;1782060595481
WINK;1;5;0;10;80;300;7;0;1782060596471
WINK;1;5;0;10;80;300;8;0;1782060597402
WINK;1;5;0;10;80;300;9;0;1782060598275
WINK;1;5;0;10;80;300;10;0;1782060599286
WINK;2;5;0;10;80;300;1;1;1782060602266
WINK;2;5;0;10;80;300;2;0;1782060603259
WINK;2;5;0;10;80;300;3;0;1782060604255
WINK;2;5;0;10;80;300;4;0;1782060605116
WINK;2;5;0;10;80;300;5;0;1782060605987
WINK;2;5;0;10;80;300;6;0;1782060606848
WINK;2;5;0;10;80;300;7;0;1782060607707
WINK;2;5;0;10;80;300;8;0;1782060608719
WINK;2;5;0;10;80;300;9;0;1782060609644
WINK;2;5;0;10;80;300;10;0;1782060610503
WINK;3;5;0;10;80;300;1;0;1782060612674
WINK;3;5;0;10;80;300;2;0;1782060613868
WINK;3;5;0;10;80;300;3;0;1782060614793
WINK;3;5;0;10;80;300;4;0;1782060616196
WINK;3;5;0;10;80;300;5;0;1782060617053
WINK;3;5;0;10;80;300;6;0;1782060617847
WINK;3;5;0;10;80;300;7;0;1782060618721
WINK;3;5;0;10;80;300;8;0;1782060619649
WINK;3;5;0;10;80;300;9;0;1782060620510
WINK;3;5;0;10;80;300;10;0;1782060621370
