input_mode;iteration;pid;delay;num_targets;target_w;target_d;target_id;miss_clicks;timestamp
MOUSE;1;6;0;10;55;400;1;0;1782898930854
MOUSE;1;6;0;10;55;400;2;0;1782898931474
MOUSE;1;6;0;10;55;400;3;0;1782898932377
MOUSE;1;6;0;10;55;400;4;0;1782898933137
MOUSE;1;6;0;10;55;400;5;0;1782898933963
MOUSE;1;6;0;10;55;400;6;0;1782898934585
MOUSE;1;6;0;10;55;400;7;0;1782898935237
MOUSE;1;6;0;10;55;400;8;0;1782898935894
MOUSE;1;6;0;10;55;400;9;0;1782898936565
MOUSE;1;6;0;10;55;400;10;0;1782898937205
MOUSE;2;6;0;10;55;400;1;0;1782898939619
MOUSE;2;6;0;10;55;400;2;0;1782898940171
MOUSE;2;6;0;10;55;400;3;0;1782898940857
MOUSE;2;6;0;10;55;400;4;0;1782898941728
MOUSE;2;6;0;10;55;400;5;0;1782898942450
MOUSE;2;6;0;10;55;400;6;0;1782898943102
MOUSE;2;6;0;10;55;400;7;0;1782898943855
MOUSE;2;6;0;10;55;400;8;0;1782898944425
MOUSE;2;6;0;10;55;400;9;0;1782898945060
MOUSE;2;6;0;10;55;400;10;0;1782898945696
MOUSE;3;6;0;10;55;400;1;0;1782898946910
MOUSE;3;6;0;10;55;400;2;0;1782898947429
MOUSE;3;6;0;10;55;400;3;0;1782898948183
MOUSE;3;6;0;10;55;400;4;0;1782898948705
MOUSE;3;6;0;10;55;400;5;0;1782898949407
MOUSE;3;6;0;10;55;400;6;0;1782898950097
MOUSE;3;6;0;10;55;400;7;0;1782898950668
MOUSE;3;6;0;10;55;400;8;0;1782898951442
MOUSE;3;6;0;10;55;400;9;0;1782898952133
MOUSE;3;6;0;10;55;400;10;0;1782898952839
