input_mode;iteration;pid;delay;num_targets;target_w;target_d;target_id;miss_clicks;timestamp
MOUSE;1;8502;0;10;55;300;1;0;1782746538392
MOUSE;1;8502;0;10;55;300;2;0;1782746538946
MOUSE;1;8502;0;10;55;300;3;0;1782746539650
MOUSE;1;8502;0;10;55;300;4;0;1782746540187
MOUSE;1;8502;0;10;55;300;5;0;1782746540740
MOUSE;1;8502;0;10;55;300;6;0;1782746541310
MOUSE;1;8502;0;10;55;300;7;0;1782746541747
MOUSE;1;8502;0;10;55;300;8;0;1782746542183
MOUSE;1;8502;0;10;55;300;9;0;1782746542721
MOUSE;1;8502;0;10;55;300;10;0;1782746543124
MOUSE;2;8502;0;10;55;300;1;0;1782746544884
MOUSE;2;8502;0;10;55;300;2;0;1782746545336
MOUSE;2;8502;0;10;55;300;3;0;1782746545924
MOUSE;2;8502;0;10;55;300;4;1;1782746546682
MOUSE;2;8502;0;10;55;300;5;0;1782746547304
MOUSE;2;8502;0;10;55;300;6;0;1782746547857
MOUSE;2;8502;0;10;55;300;7;0;1782746548411
MOUSE;2;8502;0;10;55;300;8;0;1782746548950
MOUSE;2;8502;0;10;55;300;9;0;1782746549437
MOUSE;2;8502;0;10;55;300;10;0;1782746549956
MOUSE;3;8502;0;10;55;300;1;0;1782746551518
MOUSE;3;8502;0;10;55;300;2;0;1782746552021
MOUSE;3;8502;0;10;55;300;3;1;1782746552794
MOUSE;3;8502;0;10;55;300;4;0;1782746553314
MOUSE;3;8502;0;10;55;300;5;0;1782746554071
MOUSE;3;8502;0;10;55;300;6;0;1782746554843
MOUSE;3;8502;0;10;55;300;7;0;1782746555484
MOUSE;3;8502;0;10;55;300;8;0;1782746556104
MOUSE;3;8502;0;10;55;300;9;0;1782746556675
MOUSE;3;8502;0;10;55;300;10;0;1782746557229
