input_mode;iteration;pid;delay;num_targets;target_w;target_d;target_id;miss_clicks;timestamp
MOUSE;1;6;0;10;30;300;1;0;1782899032161
MOUSE;1;6;0;10;30;300;2;0;1782899033052
MOUSE;1;6;0;10;30;300;3;0;1782899033911
MOUSE;1;6;0;10;30;300;4;0;1782899034448
MOUSE;1;6;0;10;30;300;5;0;1782899035017
MOUSE;1;6;0;10;30;300;6;0;1782899035671
MOUSE;1;6;0;10;30;300;7;0;1782899036428
MOUSE;1;6;0;10;30;300;8;0;1782899037231
MOUSE;1;6;0;10;30;300;9;0;1782899037972
MOUSE;1;6;0;10;30;300;10;0;1782899038644
MOUSE;2;6;0;10;30;300;1;0;1782899040579
MOUSE;2;6;0;10;30;300;2;0;1782899041316
MOUSE;2;6;0;10;30;300;3;0;1782899041939
MOUSE;2;6;0;10;30;300;4;0;1782899042579
MOUSE;2;6;0;10;30;300;5;0;1782899043288
MOUSE;2;6;0;10;30;300;6;0;1782899043976
MOUSE;2;6;0;10;30;300;7;0;1782899044683
MOUSE;2;6;0;10;30;300;8;0;1782899045421
MOUSE;2;6;0;10;30;300;9;0;1782899046162
MOUSE;2;6;0;10;30;300;10;0;1782899046798
MOUSE;3;6;0;10;30;300;1;0;1782899048564
MOUSE;3;6;0;10;30;300;2;0;1782899049250
MOUSE;3;6;0;10;30;300;3;0;1782899049821
MOUSE;3;6;0;10;30;300;4;0;1782899050549
MOUSE;3;6;0;10;30;300;5;0;1782899051359
MOUSE;3;6;0;10;30;300;6;0;1782899052047
MOUSE;3;6;0;10;30;300;7;0;1782899052704
MOUSE;3;6;0;10;30;300;8;0;1782899053424
MOUSE;3;6;0;10;30;300;9;0;1782899054334
MOUSE;3;6;0;10;30;300;10;0;1782899055172
