input_mode;iteration;pid;delay;num_targets;target_w;target_d;target_id;miss_clicks;timestamp
MOUSE_DELAY;1;6;150;10;80;400;1;0;1782900963595
MOUSE_DELAY;1;6;150;10;80;400;2;0;1782900964301
MOUSE_DELAY;1;6;150;10;80;400;3;0;1782900965428
MOUSE_DELAY;1;6;150;10;80;400;4;0;1782900966285
MOUSE_DELAY;1;6;150;10;80;400;5;0;1782900967225
MOUSE_DELAY;1;6;150;10;80;400;6;0;1782900968083
MOUSE_DELAY;1;6;150;10;80;400;7;0;1782900968940
MOUSE_DELAY;1;6;150;10;80;400;8;0;1782900969795
MOUSE_DELAY;1;6;150;10;80;400;9;0;1782900970601
MOUSE_DELAY;1;6;150;10;80;400;10;0;1782900971543
MOUSE_DELAY;2;6;150;10;80;400;1;0;1782900972857
MOUSE_DELAY;2;6;150;10;80;400;2;0;1782900973733
MOUSE_DELAY;2;6;150;10;80;400;3;0;1782900974541
MOUSE_DELAY;2;6;150;10;80;400;4;1;1782900975849
MOUSE_DELAY;2;6;150;10;80;400;5;0;1782900976774
MOUSE_DELAY;2;6;150;10;80;400;6;0;1782900977817
MOUSE_DELAY;2;6;150;10;80;400;7;0;1782900978641
MOUSE_DELAY;2;6;150;10;80;400;8;0;1782900979531
MOUSE_DELAY;2;6;150;10;80;400;9;0;1782900980590
MOUSE_DELAY;2;6;150;10;80;400;10;0;1782900981395
MOUSE_DELAY;3;6;150;10;80;400;1;0;1782900983092
MOUSE_DELAY;3;6;150;10;80;400;2;0;1782900983946
MOUSE_DELAY;3;6;150;10;80;400;3;0;1782900985125
MOUSE_DELAY;3;6;150;10;80;400;4;0;1782900985964
MOUSE_DELAY;3;6;150;10;80;400;5;0;1782900986923
MOUSE_DELAY;3;6;150;10;80;400;6;0;1782900987780
MOUSE_DELAY;3;6;150;10;80;400;7;1;1782900989173
MOUSE_DELAY;3;6;150;10;80;400;8;0;1782900990246
MOUSE_DELAY;3;6;150;10;80;400;9;0;1782900991238
MOUSE_DELAY;3;6;150;10;80;400;10;0;1782900992129
