input_mode;iteration;pid;delay;num_targets;target_w;target_d;target_id;miss_clicks;timestamp
MOUSE_DELAY;1;7317;150;10;55;500;1;0;1782136421455
MOUSE_DELAY;1;7317;150;10;55;500;2;0;1782136422380
MOUSE_DELAY;1;7317;150;10;55;500;3;0;1782136423665
MOUSE_DELAY;1;7317;150;10;55;500;4;0;1782136424929
MOUSE_DELAY;1;7317;150;10;55;500;5;0;1782136425889
MOUSE_DELAY;1;7317;150;10;55;500;6;0;1782136426715
MOUSE_DELAY;1;7317;150;10;55;500;7;0;1782136427775
MOUSE_DELAY;1;7317;150;10;55;500;8;0;1782136428867
MOUSE_DELAY;1;7317;150;10;55;500;9;0;1782136430024
MOUSE_DELAY;1;7317;150;10;55;500;10;0;1782136431051
MOUSE_DELAY;2;7317;150;10;55;500;1;0;1782136434084
MOUSE_DELAY;2;7317;150;10;55;500;2;0;1782136435059
MOUSE_DELAY;2;7317;150;10;55;500;3;0;1782136436454
MOUSE_DELAY;2;7317;150;10;55;500;4;0;1782136437330
MOUSE_DELAY;2;7317;150;10;55;500;5;0;1782136438657
MOUSE_DELAY;2;7317;150;10;55;500;6;0;1782136439752
MOUSE_DELAY;2;7317;150;10;55;500;7;0;1782136441068
MOUSE_DELAY;2;7317;150;10;55;500;8;0;1782136442029
MOUSE_DELAY;2;7317;150;10;55;500;9;0;1782136442987
MOUSE_DELAY;2;7317;150;10;55;500;10;0;1782136444399
MOUSE_DELAY;3;7317;150;10;55;500;1;0;1782136447227
MOUSE_DELAY;3;7317;150;10;55;500;2;0;1782136448236
MOUSE_DELAY;3;7317;150;10;55;500;3;0;1782136449343
MOUSE_DELAY;3;7317;150;10;55;500;4;0;1782136450146
MOUSE_DELAY;3;7317;150;10;55;500;5;0;1782136451226
MOUSE_DELAY;3;7317;150;10;55;500;6;0;1782136452304
MOUSE_DELAY;3;7317;150;10;55;500;7;0;1782136453617
MOUSE_DELAY;3;7317;150;10;55;500;8;0;1782136454746
MOUSE_DELAY;3;7317;150;10;55;500;9;0;1782136455957
MOUSE_DELAY;3;7317;150;10;55;500;10;0;1782136457087
