input_mode;iteration;pid;delay;num_targets;target_w;target_d;target_id;miss_clicks;timestamp
MOUSE_DELAY;1;8502;150;10;55;500;1;1;1782748818517
MOUSE_DELAY;1;8502;150;10;55;500;2;0;1782748819658
MOUSE_DELAY;1;8502;150;10;55;500;3;0;1782748820782
MOUSE_DELAY;1;8502;150;10;55;500;4;0;1782748821670
MOUSE_DELAY;1;8502;150;10;55;500;5;1;1782748823298
MOUSE_DELAY;1;8502;150;10;55;500;6;0;1782748824728
MOUSE_DELAY;1;8502;150;10;55;500;7;0;1782748825934
MOUSE_DELAY;1;8502;150;10;55;500;8;0;1782748827329
MOUSE_DELAY;1;8502;150;10;55;500;9;0;1782748828486
MOUSE_DELAY;1;8502;150;10;55;500;10;0;1782748829510
MOUSE_DELAY;2;8502;150;10;55;500;1;0;1782748832078
MOUSE_DELAY;2;8502;150;10;55;500;2;0;1782748833551
MOUSE_DELAY;2;8502;150;10;55;500;3;0;1782748834980
MOUSE_DELAY;2;8502;150;10;55;500;4;0;1782748836342
MOUSE_DELAY;2;8502;150;10;55;500;5;0;1782748837833
MOUSE_DELAY;2;8502;150;10;55;500;6;0;1782748839193
MOUSE_DELAY;2;8502;150;10;55;500;7;0;1782748840522
MOUSE_DELAY;2;8502;150;10;55;500;8;0;1782748842000
MOUSE_DELAY;2;8502;150;10;55;500;9;0;1782748843328
MOUSE_DELAY;2;8502;150;10;55;500;10;0;1782748844721
MOUSE_DELAY;3;8502;150;10;55;500;1;0;1782748849663
MOUSE_DELAY;3;8502;150;10;55;500;2;0;1782748851021
MOUSE_DELAY;3;8502;150;10;55;500;3;0;1782748852413
MOUSE_DELAY;3;8502;150;10;55;500;4;0;1782748853520
MOUSE_DELAY;3;8502;150;10;55;500;5;0;1782748854810
MOUSE_DELAY;3;8502;150;10;55;500;6;0;1782748856809
MOUSE_DELAY;3;8502;150;10;55;500;7;0;1782748858503
MOUSE_DELAY;3;8502;150;10;55;500;8;1;1782748859847
MOUSE_DELAY;3;8502;150;10;55;500;9;0;1782748861253
MOUSE_DELAY;3;8502;150;10;55;500;10;0;1782748862493
