input_mode;iteration;pid;delay;num_targets;target_w;target_d;target_id;miss_clicks;timestamp
MOUSE_DELAY;1;7317;150;10;80;300;1;0;1782136461931
MOUSE_DELAY;1;7317;150;10;80;300;2;0;1782136462705
MOUSE_DELAY;1;7317;150;10;80;300;3;0;1782136463562
MOUSE_DELAY;1;7317;150;10;80;300;4;0;1782136464387
MOUSE_DELAY;1;7317;150;10;80;300;5;0;1782136465059
MOUSE_DELAY;1;7317;150;10;80;300;6;0;1782136466082
MOUSE_DELAY;1;7317;150;10;80;300;7;0;1782136466921
MOUSE_DELAY;1;7317;150;10;80;300;8;0;1782136467758
MOUSE_DELAY;1;7317;150;10;80;300;9;0;1782136468596
MOUSE_DELAY;1;7317;150;10;80;300;10;0;1782136469504
MOUSE_DELAY;2;7317;150;10;80;300;1;0;1782136472122
MOUSE_DELAY;2;7317;150;10;80;300;2;0;1782136472877
MOUSE_DELAY;2;7317;150;10;80;300;3;0;1782136473719
MOUSE_DELAY;2;7317;150;10;80;300;4;0;1782136474443
MOUSE_DELAY;2;7317;150;10;80;300;5;0;1782136475119
MOUSE_DELAY;2;7317;150;10;80;300;6;0;1782136475827
MOUSE_DELAY;2;7317;150;10;80;300;7;0;1782136476532
MOUSE_DELAY;2;7317;150;10;80;300;8;0;1782136477238
MOUSE_DELAY;2;7317;150;10;80;300;9;0;1782136478098
MOUSE_DELAY;2;7317;150;10;80;300;10;0;1782136478741
MOUSE_DELAY;3;7317;150;10;80;300;1;0;1782136480827
MOUSE_DELAY;3;7317;150;10;80;300;2;0;1782136481822
MOUSE_DELAY;3;7317;150;10;80;300;3;0;1782136482864
MOUSE_DELAY;3;7317;150;10;80;300;4;0;1782136483821
MOUSE_DELAY;3;7317;150;10;80;300;5;0;1782136484677
MOUSE_DELAY;3;7317;150;10;80;300;6;0;1782136485549
MOUSE_DELAY;3;7317;150;10;80;300;7;0;1782136486525
MOUSE_DELAY;3;7317;150;10;80;300;8;0;1782136487602
MOUSE_DELAY;3;7317;150;10;80;300;9;0;1782136488782
MOUSE_DELAY;3;7317;150;10;80;300;10;0;1782136489641
