input_mode;iteration;pid;delay;tunnel_w;tunnel_h;x;y;hit;timestamp
MOUSE_DELAY;1;6;150;800;50;572.0;534.0;0;1782901648278
MOUSE_DELAY;1;6;150;800;50;596.0;533.0;0;1782901648293
MOUSE_DELAY;1;6;150;800;50;614.0;533.0;0;1782901648310
MOUSE_DELAY;1;6;150;800;50;623.0;533.0;0;1782901648326
MOUSE_DELAY;1;6;150;800;50;632.0;533.0;0;1782901648343
MOUSE_DELAY;1;6;150;800;50;641.0;533.0;0;1782901648360
MOUSE_DELAY;1;6;150;800;50;658.0;530.0;0;1782901648377
MOUSE_DELAY;1;6;150;800;50;677.0;528.0;0;1782901648393
MOUSE_DELAY;1;6;150;800;50;692.0;527.0;0;1782901648410
MOUSE_DELAY;1;6;150;800;50;697.0;527.0;0;1782901648428
MOUSE_DELAY;1;6;150;800;50;698.0;527.0;0;1782901648444
MOUSE_DELAY;1;6;150;800;50;699.0;527.0;0;1782901648461
MOUSE_DELAY;1;6;150;800;50;701.0;527.0;0;1782901648477
MOUSE_DELAY;1;6;150;800;50;706.0;527.0;0;1782901648495
MOUSE_DELAY;1;6;150;800;50;713.0;526.0;0;1782901648512
MOUSE_DELAY;1;6;150;800;50;731.0;526.0;0;1782901648529
MOUSE_DELAY;1;6;150;800;50;735.0;526.0;0;1782901648547
MOUSE_DELAY;1;6;150;800;50;737.0;526.0;0;1782901648563
MOUSE_DELAY;1;6;150;800;50;740.0;527.0;0;1782901648579
MOUSE_DELAY;1;6;150;800;50;745.0;528.0;0;1782901648596
MOUSE_DELAY;1;6;150;800;50;760.0;532.0;0;1782901648613
MOUSE_DELAY;1;6;150;800;50;771.0;535.0;0;1782901648630
MOUSE_DELAY;1;6;150;800;50;786.0;541.0;1;1782901648646
MOUSE_DELAY;1;6;150;800;50;806.0;546.0;1;1782901648663
MOUSE_DELAY;1;6;150;800;50;821.0;547.0;1;1782901648680
MOUSE_DELAY;1;6;150;800;50;846.0;548.0;1;1782901648696
MOUSE_DELAY;1;6;150;800;50;875.0;551.0;1;1782901648714
MOUSE_DELAY;1;6;150;800;50;895.0;562.0;1;1782901648730
MOUSE_DELAY;1;6;150;800;50;907.0;568.0;1;1782901648747
MOUSE_DELAY;1;6;150;800;50;917.0;569.0;1;1782901648763
MOUSE_DELAY;1;6;150;800;50;926.0;569.0;1;1782901648781
MOUSE_DELAY;1;6;150;800;50;936.0;569.0;1;1782901648798
MOUSE_DELAY;1;6;150;800;50;943.0;569.0;1;1782901648814
MOUSE_DELAY;1;6;150;800;50;945.0;569.0;1;1782901648831
MOUSE_DELAY;1;6;150;800;50;945.0;569.0;1;1782901648848
MOUSE_DELAY;1;6;150;800;50;945.0;569.0;1;1782901648865
MOUSE_DELAY;1;6;150;800;50;947.0;569.0;1;1782901648882
MOUSE_DELAY;1;6;150;800;50;952.0;568.0;1;1782901648899
MOUSE_DELAY;1;6;150;800;50;953.0;568.0;1;1782901648916
MOUSE_DELAY;1;6;150;800;50;954.0;568.0;1;1782901648932
MOUSE_DELAY;1;6;150;800;50;957.0;566.0;1;1782901648949
MOUSE_DELAY;1;6;150;800;50;961.0;565.0;1;1782901648966
MOUSE_DELAY;1;6;150;800;50;973.0;562.0;1;1782901648983
MOUSE_DELAY;1;6;150;800;50;989.0;558.0;1;1782901648999
MOUSE_DELAY;1;6;150;800;50;993.0;557.0;1;1782901649016
MOUSE_DELAY;1;6;150;800;50;995.0;557.0;1;1782901649033
MOUSE_DELAY;1;6;150;800;50;997.0;555.0;1;1782901649049
MOUSE_DELAY;1;6;150;800;50;1004.0;548.0;1;1782901649067
MOUSE_DELAY;1;6;150;800;50;1026.0;538.0;0;1782901649083
