input_mode;iteration;pid;delay;num_targets;target_w;target_d;target_id;miss_clicks;timestamp
PINCH;1;8502;0;10;30;400;1;1;1782747164298
PINCH;1;8502;0;10;30;400;2;2;1782747168976
PINCH;1;8502;0;10;30;400;3;1;1782747171565
PINCH;1;8502;0;10;30;400;4;0;1782747173562
PINCH;1;8502;0;10;30;400;5;0;1782747175428
PINCH;1;8502;0;10;30;400;6;0;1782747177363
PINCH;1;8502;0;10;30;400;7;0;1782747178876
PINCH;1;8502;0;10;30;400;8;0;1782747180794
PINCH;1;8502;0;10;30;400;9;1;1782747183287
PINCH;1;8502;0;10;30;400;10;0;1782747185496
PINCH;2;8502;0;10;30;400;1;0;1782747190377
PINCH;2;8502;0;10;30;400;2;0;1782747192729
PINCH;2;8502;0;10;30;400;3;0;1782747193992
PINCH;2;8502;0;10;30;400;4;0;1782747195766
PINCH;2;8502;0;10;30;400;5;0;1782747197398
PINCH;2;8502;0;10;30;400;6;1;1782747199820
PINCH;2;8502;0;10;30;400;7;0;1782747201891
PINCH;2;8502;0;10;30;400;8;1;1782747203407
PINCH;2;8502;0;10;30;400;9;0;1782747212452
PINCH;2;8502;0;10;30;400;10;1;1782747215354
PINCH;3;8502;0;10;30;400;1;0;1782747236722
PINCH;3;8502;0;10;30;400;2;1;1782747240108
PINCH;3;8502;0;10;30;400;3;0;1782747242560
PINCH;3;8502;0;10;30;400;4;2;1782747247487
PINCH;3;8502;0;10;30;400;5;0;1782747249844
PINCH;3;8502;0;10;30;400;6;1;1782747252570
PINCH;3;8502;0;10;30;400;7;0;1782747254760
PINCH;3;8502;0;10;30;400;8;0;1782747257016
PINCH;3;8502;0;10;30;400;9;0;1782747258817
PINCH;3;8502;0;10;30;400;10;2;1782747262574
