input_mode;iteration;pid;delay;num_targets;target_w;target_d;target_id;miss_clicks;timestamp
PINCH;1;5;0;10;55;300;1;0;1782059399656
PINCH;1;5;0;10;55;300;2;0;1782059400848
PINCH;1;5;0;10;55;300;3;0;1782059402260
PINCH;1;5;0;10;55;300;4;0;1782059404039
PINCH;1;5;0;10;55;300;5;0;1782059406950
PINCH;1;5;0;10;55;300;6;0;1782059408584
PINCH;1;5;0;10;55;300;7;0;1782059409863
PINCH;1;5;0;10;55;300;8;0;1782059412590
PINCH;1;5;0;10;55;300;9;0;1782059414321
PINCH;1;5;0;10;55;300;10;0;1782059416054
PINCH;2;5;0;10;55;300;1;0;1782059419465
PINCH;2;5;0;10;55;300;2;0;1782059421015
PINCH;2;5;0;10;55;300;3;0;1782059422424
PINCH;2;5;0;10;55;300;4;0;1782059423687
PINCH;2;5;0;10;55;300;5;0;1782059425348
PINCH;2;5;0;10;55;300;6;0;1782059426748
PINCH;2;5;0;10;55;300;7;0;1782059428279
PINCH;2;5;0;10;55;300;8;0;1782059429536
PINCH;2;5;0;10;55;300;9;0;1782059431037
PINCH;2;5;0;10;55;300;10;0;1782059433158
PINCH;3;5;0;10;55;300;1;0;1782059437280
PINCH;3;5;0;10;55;300;2;0;1782059438876
PINCH;3;5;0;10;55;300;3;0;1782059440472
PINCH;3;5;0;10;55;300;4;0;1782059441788
PINCH;3;5;0;10;55;300;5;0;1782059443898
PINCH;3;5;0;10;55;300;6;0;1782059445631
PINCH;3;5;0;10;55;300;7;0;1782059447297
PINCH;3;5;0;10;55;300;8;0;1782059448743
PINCH;3;5;0;10;55;300;9;0;1782059450262
PINCH;3;5;0;10;55;300;10;0;1782059451879
