input_mode;iteration;pid;delay;num_targets;target_w;target_d;target_id;miss_clicks;timestamp
PINCH;1;8502;0;10;30;300;1;0;1782747077211
PINCH;1;8502;0;10;30;300;2;0;1782747079198
PINCH;1;8502;0;10;30;300;3;0;1782747081390
PINCH;1;8502;0;10;30;300;4;1;1782747083983
PINCH;1;8502;0;10;30;300;5;1;1782747086630
PINCH;1;8502;0;10;30;300;6;0;1782747088334
PINCH;1;8502;0;10;30;300;7;0;1782747090602
PINCH;1;8502;0;10;30;300;8;1;1782747093129
PINCH;1;8502;0;10;30;300;9;0;1782747094990
PINCH;1;8502;0;10;30;300;10;0;1782747097062
PINCH;2;8502;0;10;30;300;1;0;1782747116652
PINCH;2;8502;0;10;30;300;2;0;1782747118532
PINCH;2;8502;0;10;30;300;3;0;1782747120381
PINCH;2;8502;0;10;30;300;4;0;1782747122391
PINCH;2;8502;0;10;30;300;5;0;1782747123943
PINCH;2;8502;0;10;30;300;6;1;1782747126397
PINCH;2;8502;0;10;30;300;7;0;1782747128129
PINCH;2;8502;0;10;30;300;8;0;1782747129851
PINCH;2;8502;0;10;30;300;9;0;1782747131398
PINCH;2;8502;0;10;30;300;10;1;1782747134478
PINCH;3;8502;0;10;30;300;1;0;1782747140188
PINCH;3;8502;0;10;30;300;2;0;1782747142254
PINCH;3;8502;0;10;30;300;3;1;1782747144508
PINCH;3;8502;0;10;30;300;4;0;1782747146711
PINCH;3;8502;0;10;30;300;5;0;1782747148176
PINCH;3;8502;0;10;30;300;6;0;1782747149693
PINCH;3;8502;0;10;30;300;7;0;1782747151226
PINCH;3;8502;0;10;30;300;8;1;1782747154080
PINCH;3;8502;0;10;30;300;9;0;1782747156014
PINCH;3;8502;0;10;30;300;10;0;1782747157712
