input_mode;iteration;pid;delay;tunnel_w;tunnel_h;x;y;hit;timestamp
MOUSE;1;8502;0;1100;110;414.0;499.0;0;1782750472535
MOUSE;1;8502;0;1100;110;453.0;499.0;0;1782750472550
MOUSE;1;8502;0;1100;110;480.0;502.0;0;1782750472568
MOUSE;1;8502;0;1100;110;503.0;502.0;0;1782750472585
MOUSE;1;8502;0;1100;110;528.0;502.0;0;1782750472602
MOUSE;1;8502;0;1100;110;549.0;502.0;0;1782750472619
MOUSE;1;8502;0;1100;110;570.0;502.0;0;1782750472635
MOUSE;1;8502;0;1100;110;600.0;506.0;0;1782750472651
MOUSE;1;8502;0;1100;110;616.0;507.0;0;1782750472669
MOUSE;1;8502;0;1100;110;629.0;508.0;0;1782750472685
MOUSE;1;8502;0;1100;110;640.0;509.0;0;1782750472702
MOUSE;1;8502;0;1100;110;649.0;510.0;0;1782750472718
MOUSE;1;8502;0;1100;110;653.0;511.0;0;1782750472736
MOUSE;1;8502;0;1100;110;658.0;512.0;0;1782750472752
MOUSE;1;8502;0;1100;110;662.0;513.0;0;1782750472769
MOUSE;1;8502;0;1100;110;675.0;514.0;0;1782750472786
MOUSE;1;8502;0;1100;110;684.0;514.0;0;1782750472803
MOUSE;1;8502;0;1100;110;691.0;515.0;0;1782750472819
MOUSE;1;8502;0;1100;110;697.0;516.0;0;1782750472836
MOUSE;1;8502;0;1100;110;701.0;517.0;0;1782750472852
MOUSE;1;8502;0;1100;110;709.0;518.0;0;1782750472869
MOUSE;1;8502;0;1100;110;719.0;519.0;0;1782750472886
MOUSE;1;8502;0;1100;110;733.0;521.0;0;1782750472903
MOUSE;1;8502;0;1100;110;758.0;521.0;0;1782750472919
MOUSE;1;8502;0;1100;110;774.0;522.0;0;1782750472936
MOUSE;1;8502;0;1100;110;794.0;522.0;0;1782750472953
MOUSE;1;8502;0;1100;110;814.0;522.0;0;1782750472970
MOUSE;1;8502;0;1100;110;838.0;518.0;0;1782750472987
MOUSE;1;8502;0;1100;110;869.0;517.0;0;1782750473003
MOUSE;1;8502;0;1100;110;901.0;515.0;0;1782750473019
MOUSE;1;8502;0;1100;110;941.0;513.0;0;1782750473037
MOUSE;1;8502;0;1100;110;961.0;513.0;0;1782750473053
MOUSE;1;8502;0;1100;110;985.0;510.0;0;1782750473070
MOUSE;1;8502;0;1100;110;1008.0;509.0;0;1782750473086
MOUSE;1;8502;0;1100;110;1023.0;509.0;0;1782750473103
MOUSE;1;8502;0;1100;110;1037.0;509.0;0;1782750473120
MOUSE;1;8502;0;1100;110;1051.0;507.0;0;1782750473137
MOUSE;1;8502;0;1100;110;1070.0;506.0;0;1782750473153
MOUSE;1;8502;0;1100;110;1088.0;505.0;0;1782750473170
MOUSE;1;8502;0;1100;110;1109.0;504.0;0;1782750473187
MOUSE;1;8502;0;1100;110;1131.0;501.0;0;1782750473204
MOUSE;1;8502;0;1100;110;1151.0;497.0;0;1782750473221
MOUSE;1;8502;0;1100;110;1171.0;496.0;0;1782750473237
MOUSE;1;8502;0;1100;110;1187.0;494.0;0;1782750473254
MOUSE;1;8502;0;1100;110;1211.0;493.0;0;1782750473271
MOUSE;1;8502;0;1100;110;1226.0;493.0;0;1782750473288
MOUSE;1;8502;0;1100;110;1240.0;493.0;0;1782750473305
MOUSE;1;8502;0;1100;110;1253.0;491.0;0;1782750473323
MOUSE;1;8502;0;1100;110;1267.0;492.0;0;1782750473339
MOUSE;1;8502;0;1100;110;1281.0;493.0;0;1782750473356
MOUSE;1;8502;0;1100;110;1291.0;493.0;0;1782750473372
MOUSE;1;8502;0;1100;110;1299.0;493.0;0;1782750473389
MOUSE;1;8502;0;1100;110;1306.0;493.0;0;1782750473406
MOUSE;1;8502;0;1100;110;1313.0;493.0;0;1782750473423
MOUSE;1;8502;0;1100;110;1322.0;493.0;0;1782750473439
MOUSE;1;8502;0;1100;110;1334.0;494.0;0;1782750473456
MOUSE;1;8502;0;1100;110;1346.0;496.0;0;1782750473473
MOUSE;1;8502;0;1100;110;1360.0;496.0;0;1782750473489
MOUSE;1;8502;0;1100;110;1369.0;497.0;0;1782750473506
MOUSE;1;8502;0;1100;110;1377.0;498.0;0;1782750473523
MOUSE;1;8502;0;1100;110;1394.0;501.0;0;1782750473540
MOUSE;1;8502;0;1100;110;1408.0;503.0;0;1782750473557
MOUSE;1;8502;0;1100;110;1425.0;505.0;0;1782750473573
MOUSE;1;8502;0;1100;110;1444.0;509.0;0;1782750473590
MOUSE;1;8502;0;1100;110;1465.0;514.0;0;1782750473607
MOUSE;1;8502;0;1100;110;1487.0;519.0;0;1782750473623
MOUSE;2;8502;0;1100;110;446.0;492.0;0;1782750476968
MOUSE;2;8502;0;1100;110;479.0;491.0;0;1782750476983
MOUSE;2;8502;0;1100;110;540.0;486.0;0;1782750476999
MOUSE;2;8502;0;1100;110;593.0;483.0;0;1782750477016
MOUSE;2;8502;0;1100;110;655.0;479.0;1;1782750477033
MOUSE;2;8502;0;1100;110;694.0;479.0;1;1782750477049
MOUSE;2;8502;0;1100;110;750.0;482.0;0;1782750477066
MOUSE;2;8502;0;1100;110;798.0;488.0;0;1782750477084
MOUSE;2;8502;0;1100;110;841.0;494.0;0;1782750477100
MOUSE;2;8502;0;1100;110;905.0;501.0;0;1782750477117
MOUSE;2;8502;0;1100;110;947.0;504.0;0;1782750477133
MOUSE;2;8502;0;1100;110;984.0;504.0;0;1782750477151
MOUSE;2;8502;0;1100;110;1032.0;504.0;0;1782750477167
MOUSE;2;8502;0;1100;110;1095.0;499.0;0;1782750477184
MOUSE;2;8502;0;1100;110;1159.0;493.0;0;1782750477201
MOUSE;2;8502;0;1100;110;1217.0;493.0;0;1782750477218
MOUSE;2;8502;0;1100;110;1280.0;496.0;0;1782750477234
MOUSE;2;8502;0;1100;110;1378.0;492.0;0;1782750477251
MOUSE;2;8502;0;1100;110;1446.0;492.0;0;1782750477268
MOUSE;2;8502;0;1100;110;1501.0;490.0;0;1782750477285
MOUSE;3;8502;0;1100;110;411.0;557.0;0;1782750481321
