input_mode;iteration;pid;delay;tunnel_w;tunnel_h;x;y;hit;timestamp
MOUSE;1;8502;0;500;50;792.0;538.0;0;1782750505435
MOUSE;1;8502;0;500;50;720.0;538.0;0;1782750505449
MOUSE;1;8502;0;500;50;674.0;540.0;0;1782750505466
MOUSE;1;8502;0;500;50;627.0;545.0;0;1782750505483
MOUSE;1;8502;0;500;50;592.0;546.0;0;1782750505500
MOUSE;1;8502;0;500;50;559.0;546.0;0;1782750505517
MOUSE;1;8502;0;500;50;518.0;540.0;0;1782750505533
MOUSE;1;8502;0;500;50;469.0;537.0;0;1782750505550
MOUSE;1;8502;0;500;50;386.0;535.0;0;1782750505568
MOUSE;1;8502;0;500;50;333.0;535.0;0;1782750505583
MOUSE;1;8502;0;500;50;269.0;543.0;0;1782750505601
MOUSE;1;8502;0;500;50;201.0;553.0;0;1782750505618
MOUSE;1;8502;0;500;50;142.0;562.0;0;1782750505633
MOUSE;1;8502;0;500;50;108.0;568.0;0;1782750505650
MOUSE;1;8502;0;500;50;51.0;575.0;0;1782750505667
MOUSE;1;8502;0;500;50;0.0;583.0;0;1782750505683
MOUSE;1;8502;0;500;50;0.0;585.0;0;1782750505701
MOUSE;1;8502;0;500;50;0.0;587.0;0;1782750505718
MOUSE;1;8502;0;500;50;0.0;587.0;0;1782750505734
MOUSE;1;8502;0;500;50;0.0;588.0;0;1782750505751
MOUSE;1;8502;0;500;50;0.0;592.0;0;1782750505768
MOUSE;1;8502;0;500;50;0.0;598.0;0;1782750505785
MOUSE;1;8502;0;500;50;0.0;602.0;0;1782750505802
MOUSE;1;8502;0;500;50;0.0;607.0;0;1782750505818
MOUSE;1;8502;0;500;50;0.0;608.0;0;1782750505835
MOUSE;1;8502;0;500;50;0.0;609.0;0;1782750505851
MOUSE;1;8502;0;500;50;0.0;609.0;0;1782750505869
MOUSE;1;8502;0;500;50;0.0;610.0;0;1782750505885
MOUSE;1;8502;0;500;50;17.0;610.0;0;1782750505902
MOUSE;1;8502;0;500;50;42.0;611.0;0;1782750505918
MOUSE;1;8502;0;500;50;82.0;614.0;0;1782750505935
MOUSE;1;8502;0;500;50;138.0;613.0;0;1782750505952
MOUSE;1;8502;0;500;50;216.0;606.0;0;1782750505969
MOUSE;1;8502;0;500;50;255.0;603.0;0;1782750505985
MOUSE;1;8502;0;500;50;290.0;599.0;0;1782750506002
MOUSE;1;8502;0;500;50;312.0;595.0;0;1782750506018
MOUSE;1;8502;0;500;50;334.0;591.0;0;1782750506035
MOUSE;1;8502;0;500;50;356.0;589.0;0;1782750506052
MOUSE;1;8502;0;500;50;376.0;585.0;0;1782750506068
MOUSE;1;8502;0;500;50;392.0;581.0;0;1782750506085
MOUSE;1;8502;0;500;50;408.0;579.0;0;1782750506102
MOUSE;1;8502;0;500;50;429.0;575.0;0;1782750506118
MOUSE;1;8502;0;500;50;443.0;573.0;0;1782750506135
MOUSE;1;8502;0;500;50;457.0;571.0;0;1782750506152
MOUSE;1;8502;0;500;50;471.0;569.0;0;1782750506169
MOUSE;1;8502;0;500;50;490.0;567.0;0;1782750506186
MOUSE;1;8502;0;500;50;508.0;566.0;0;1782750506202
MOUSE;1;8502;0;500;50;524.0;564.0;0;1782750506219
MOUSE;1;8502;0;500;50;541.0;561.0;0;1782750506236
MOUSE;1;8502;0;500;50;561.0;560.0;0;1782750506253
MOUSE;1;8502;0;500;50;566.0;559.0;0;1782750506268
MOUSE;1;8502;0;500;50;571.0;559.0;0;1782750506286
MOUSE;1;8502;0;500;50;580.0;559.0;0;1782750506303
MOUSE;1;8502;0;500;50;593.0;559.0;0;1782750506320
MOUSE;1;8502;0;500;50;607.0;559.0;0;1782750506337
MOUSE;1;8502;0;500;50;624.0;559.0;0;1782750506353
MOUSE;1;8502;0;500;50;631.0;558.0;0;1782750506371
MOUSE;1;8502;0;500;50;638.0;557.0;0;1782750506389
MOUSE;1;8502;0;500;50;648.0;556.0;0;1782750506405
MOUSE;1;8502;0;500;50;660.0;556.0;0;1782750506422
MOUSE;1;8502;0;500;50;672.0;555.0;0;1782750506440
MOUSE;1;8502;0;500;50;690.0;552.0;0;1782750506456
MOUSE;1;8502;0;500;50;704.0;550.0;0;1782750506473
MOUSE;1;8502;0;500;50;719.0;547.0;1;1782750506490
MOUSE;1;8502;0;500;50;737.0;544.0;1;1782750506507
MOUSE;1;8502;0;500;50;757.0;543.0;1;1782750506523
MOUSE;1;8502;0;500;50;777.0;543.0;1;1782750506540
