input_mode;iteration;pid;delay;tunnel_w;tunnel_h;x;y;hit;timestamp
MOUSE;1;6;0;500;80;713.0;524.0;0;1782901260367
MOUSE;1;6;0;500;80;726.0;525.0;0;1782901260382
MOUSE;1;6;0;500;80;748.0;525.0;0;1782901260398
MOUSE;1;6;0;500;80;779.0;525.0;0;1782901260415
MOUSE;1;6;0;500;80;817.0;525.0;0;1782901260432
MOUSE;1;6;0;500;80;848.0;525.0;0;1782901260448
MOUSE;1;6;0;500;80;857.0;527.0;0;1782901260465
MOUSE;1;6;0;500;80;862.0;528.0;0;1782901260482
MOUSE;1;6;0;500;80;873.0;529.0;0;1782901260499
MOUSE;1;6;0;500;80;922.0;529.0;0;1782901260516
MOUSE;1;6;0;500;80;929.0;529.0;0;1782901260536
MOUSE;1;6;0;500;80;980.0;528.0;0;1782901260553
MOUSE;1;6;0;500;80;1011.0;528.0;0;1782901260569
MOUSE;1;6;0;500;80;1040.0;528.0;0;1782901260585
MOUSE;1;6;0;500;80;1066.0;528.0;0;1782901260602
MOUSE;1;6;0;500;80;1105.0;525.0;0;1782901260618
MOUSE;1;6;0;500;80;1154.0;520.0;0;1782901260635
MOUSE;1;6;0;500;80;1197.0;519.0;0;1782901260652
MOUSE;2;6;0;500;80;725.0;513.0;0;1782901261511
MOUSE;2;6;0;500;80;753.0;513.0;0;1782901261527
MOUSE;2;6;0;500;80;778.0;513.0;0;1782901261543
MOUSE;2;6;0;500;80;795.0;513.0;0;1782901261560
MOUSE;2;6;0;500;80;812.0;517.0;0;1782901261577
MOUSE;2;6;0;500;80;833.0;519.0;0;1782901261593
MOUSE;2;6;0;500;80;860.0;522.0;0;1782901261610
MOUSE;2;6;0;500;80;890.0;523.0;0;1782901261627
MOUSE;2;6;0;500;80;926.0;525.0;0;1782901261644
MOUSE;2;6;0;500;80;937.0;527.0;0;1782901261660
MOUSE;2;6;0;500;80;949.0;528.0;0;1782901261678
MOUSE;2;6;0;500;80;968.0;529.0;0;1782901261694
MOUSE;2;6;0;500;80;995.0;529.0;0;1782901261712
MOUSE;2;6;0;500;80;1028.0;529.0;0;1782901261729
MOUSE;2;6;0;500;80;1061.0;529.0;0;1782901261746
MOUSE;2;6;0;500;80;1086.0;532.0;0;1782901261762
MOUSE;2;6;0;500;80;1097.0;534.0;0;1782901261779
MOUSE;2;6;0;500;80;1106.0;536.0;0;1782901261796
MOUSE;2;6;0;500;80;1117.0;536.0;0;1782901261813
MOUSE;2;6;0;500;80;1169.0;531.0;0;1782901261830
MOUSE;2;6;0;500;80;1199.0;527.0;0;1782901261846
MOUSE;3;6;0;500;80;722.0;523.0;0;1782901262840
MOUSE;3;6;0;500;80;729.0;525.0;0;1782901262856
MOUSE;3;6;0;500;80;735.0;526.0;0;1782901262872
MOUSE;3;6;0;500;80;746.0;527.0;0;1782901262889
MOUSE;3;6;0;500;80;762.0;527.0;0;1782901262907
MOUSE;3;6;0;500;80;783.0;528.0;0;1782901262924
MOUSE;3;6;0;500;80;799.0;528.0;0;1782901262940
MOUSE;3;6;0;500;80;812.0;529.0;0;1782901262957
MOUSE;3;6;0;500;80;824.0;529.0;0;1782901262974
MOUSE;3;6;0;500;80;845.0;529.0;0;1782901262990
MOUSE;3;6;0;500;80;872.0;529.0;0;1782901263007
MOUSE;3;6;0;500;80;892.0;529.0;0;1782901263023
MOUSE;3;6;0;500;80;917.0;529.0;0;1782901263041
MOUSE;3;6;0;500;80;940.0;529.0;0;1782901263057
MOUSE;3;6;0;500;80;974.0;529.0;0;1782901263074
MOUSE;3;6;0;500;80;999.0;526.0;0;1782901263090
MOUSE;3;6;0;500;80;1047.0;520.0;0;1782901263108
MOUSE;3;6;0;500;80;1081.0;518.0;0;1782901263124
MOUSE;3;6;0;500;80;1105.0;518.0;0;1782901263141
MOUSE;3;6;0;500;80;1133.0;518.0;0;1782901263158
MOUSE;3;6;0;500;80;1158.0;518.0;0;1782901263175
MOUSE;3;6;0;500;80;1172.0;518.0;0;1782901263191
MOUSE;3;6;0;500;80;1190.0;518.0;0;1782901263209
