input_mode;iteration;pid;delay;tunnel_w;tunnel_h;x;y;hit;timestamp
MOUSE;1;6;0;500;50;717.0;522.0;0;1782901237176
MOUSE;1;6;0;500;50;725.0;519.0;0;1782901237187
MOUSE;1;6;0;500;50;731.0;519.0;0;1782901237204
MOUSE;1;6;0;500;50;735.0;519.0;0;1782901237220
MOUSE;1;6;0;500;50;745.0;522.0;0;1782901237237
MOUSE;1;6;0;500;50;754.0;524.0;0;1782901237255
MOUSE;1;6;0;500;50;766.0;525.0;0;1782901237271
MOUSE;1;6;0;500;50;775.0;527.0;0;1782901237288
MOUSE;1;6;0;500;50;780.0;528.0;0;1782901237305
MOUSE;1;6;0;500;50;782.0;528.0;0;1782901237321
MOUSE;1;6;0;500;50;786.0;528.0;0;1782901237339
MOUSE;1;6;0;500;50;792.0;528.0;0;1782901237355
MOUSE;1;6;0;500;50;799.0;528.0;0;1782901237372
MOUSE;1;6;0;500;50;814.0;529.0;0;1782901237389
MOUSE;1;6;0;500;50;827.0;530.0;0;1782901237405
MOUSE;1;6;0;500;50;834.0;531.0;0;1782901237422
MOUSE;1;6;0;500;50;842.0;531.0;0;1782901237439
MOUSE;1;6;0;500;50;854.0;529.0;0;1782901237456
MOUSE;1;6;0;500;50;867.0;527.0;0;1782901237472
MOUSE;1;6;0;500;50;879.0;526.0;0;1782901237489
MOUSE;1;6;0;500;50;904.0;523.0;0;1782901237506
MOUSE;1;6;0;500;50;931.0;521.0;0;1782901237522
MOUSE;1;6;0;500;50;970.0;518.0;0;1782901237539
MOUSE;1;6;0;500;50;1003.0;516.0;0;1782901237555
MOUSE;1;6;0;500;50;1028.0;516.0;0;1782901237574
MOUSE;1;6;0;500;50;1029.0;516.0;0;1782901237590
MOUSE;1;6;0;500;50;1032.0;516.0;0;1782901237607
MOUSE;1;6;0;500;50;1037.0;516.0;0;1782901237624
MOUSE;1;6;0;500;50;1058.0;515.0;0;1782901237640
MOUSE;1;6;0;500;50;1078.0;513.0;0;1782901237657
MOUSE;1;6;0;500;50;1102.0;512.0;0;1782901237673
MOUSE;1;6;0;500;50;1128.0;512.0;0;1782901237691
MOUSE;1;6;0;500;50;1156.0;512.0;0;1782901237707
