input_mode;iteration;pid;delay;tunnel_w;tunnel_h;x;y;hit;timestamp
MOUSE;1;8502;0;500;110;718.0;537.0;0;1782749374016
MOUSE;1;8502;0;500;110;732.0;541.0;0;1782749374026
MOUSE;1;8502;0;500;110;750.0;544.0;0;1782749374042
MOUSE;1;8502;0;500;110;772.0;550.0;0;1782749374059
MOUSE;1;8502;0;500;110;806.0;555.0;0;1782749374077
MOUSE;1;8502;0;500;110;822.0;556.0;0;1782749374093
MOUSE;1;8502;0;500;110;842.0;559.0;0;1782749374110
MOUSE;1;8502;0;500;110;874.0;563.0;0;1782749374127
MOUSE;1;8502;0;500;110;906.0;570.0;0;1782749374143
MOUSE;1;8502;0;500;110;974.0;591.0;1;1782749374161
MOUSE;1;8502;0;500;110;1009.0;603.0;1;1782749374178
MOUSE;1;8502;0;500;110;1041.0;609.0;1;1782749374195
MOUSE;1;8502;0;500;110;1070.0;614.0;1;1782749374211
MOUSE;1;8502;0;500;110;1095.0;618.0;1;1782749374228
MOUSE;1;8502;0;500;110;1122.0;624.0;1;1782749374245
MOUSE;1;8502;0;500;110;1136.0;628.0;1;1782749374262
MOUSE;1;8502;0;500;110;1147.0;631.0;1;1782749374278
MOUSE;1;8502;0;500;110;1159.0;633.0;1;1782749374295
MOUSE;1;8502;0;500;110;1175.0;634.0;1;1782749374312
MOUSE;1;8502;0;500;110;1195.0;634.0;1;1782749374329
MOUSE;1;8502;0;500;110;1208.0;634.0;1;1782749374346
MOUSE;1;8502;0;500;110;1220.0;634.0;0;1782749374362
MOUSE;1;8502;0;500;110;1239.0;629.0;0;1782749374379
MOUSE;1;8502;0;500;110;1247.0;624.0;0;1782749374396
MOUSE;1;8502;0;500;110;1258.0;620.0;0;1782749374414
MOUSE;1;8502;0;500;110;1267.0;616.0;0;1782749374430
MOUSE;1;8502;0;500;110;1270.0;612.0;0;1782749374447
MOUSE;1;8502;0;500;110;1273.0;609.0;0;1782749374464
MOUSE;1;8502;0;500;110;1275.0;604.0;0;1782749374480
MOUSE;1;8502;0;500;110;1276.0;599.0;0;1782749374497
MOUSE;1;8502;0;500;110;1274.0;593.0;0;1782749374514
MOUSE;2;8502;0;500;110;732.0;508.0;0;1782750450806
MOUSE;2;8502;0;500;110;755.0;503.0;0;1782750450820
MOUSE;2;8502;0;500;110;800.0;494.0;0;1782750450837
MOUSE;2;8502;0;500;110;822.0;490.0;0;1782750450853
MOUSE;2;8502;0;500;110;841.0;488.0;0;1782750450870
MOUSE;2;8502;0;500;110;860.0;484.0;0;1782750450887
MOUSE;2;8502;0;500;110;877.0;479.0;1;1782750450904
MOUSE;2;8502;0;500;110;893.0;475.0;1;1782750450921
MOUSE;2;8502;0;500;110;912.0;472.0;1;1782750450937
MOUSE;2;8502;0;500;110;941.0;467.0;1;1782750450954
MOUSE;2;8502;0;500;110;962.0;461.0;1;1782750450971
MOUSE;2;8502;0;500;110;984.0;459.0;1;1782750450987
MOUSE;2;8502;0;500;110;1004.0;457.0;1;1782750451006
MOUSE;2;8502;0;500;110;1025.0;455.0;1;1782750451022
MOUSE;2;8502;0;500;110;1044.0;452.0;1;1782750451039
MOUSE;2;8502;0;500;110;1072.0;453.0;1;1782750451055
MOUSE;2;8502;0;500;110;1092.0;454.0;1;1782750451072
MOUSE;2;8502;0;500;110;1108.0;455.0;1;1782750451089
MOUSE;2;8502;0;500;110;1128.0;455.0;1;1782750451106
MOUSE;2;8502;0;500;110;1150.0;458.0;1;1782750451123
MOUSE;2;8502;0;500;110;1175.0;459.0;1;1782750451140
MOUSE;2;8502;0;500;110;1205.0;460.0;1;1782750451157
MOUSE;2;8502;0;500;110;1255.0;460.0;0;1782750451173
MOUSE;2;8502;0;500;110;1288.0;459.0;0;1782750451190
MOUSE;2;8502;0;500;110;1319.0;459.0;0;1782750451207
MOUSE;2;8502;0;500;110;1348.0;457.0;0;1782750451224
MOUSE;2;8502;0;500;110;1371.0;453.0;0;1782750451240
MOUSE;2;8502;0;500;110;1393.0;452.0;0;1782750451257
MOUSE;2;8502;0;500;110;1412.0;452.0;0;1782750451275
MOUSE;2;8502;0;500;110;1426.0;454.0;0;1782750451291
MOUSE;2;8502;0;500;110;1441.0;458.0;0;1782750451309
MOUSE;2;8502;0;500;110;1452.0;461.0;0;1782750451325
MOUSE;2;8502;0;500;110;1456.0;463.0;0;1782750451341
MOUSE;2;8502;0;500;110;1461.0;465.0;0;1782750451358
MOUSE;2;8502;0;500;110;1468.0;467.0;0;1782750451375
MOUSE;2;8502;0;500;110;1481.0;469.0;0;1782750451392
MOUSE;2;8502;0;500;110;1496.0;471.0;0;1782750451409
MOUSE;2;8502;0;500;110;1520.0;471.0;0;1782750451426
MOUSE;2;8502;0;500;110;1539.0;471.0;0;1782750451442
MOUSE;2;8502;0;500;110;1557.0;470.0;0;1782750451459
MOUSE;2;8502;0;500;110;1578.0;468.0;0;1782750451476
MOUSE;2;8502;0;500;110;1606.0;468.0;0;1782750451493
