input_mode;iteration;pid;delay;tunnel_w;tunnel_h;x;y;hit;timestamp
MOUSE;1;6;0;800;110;583.0;531.0;0;1782901288571
MOUSE;1;6;0;800;110;601.0;535.0;0;1782901288586
MOUSE;1;6;0;800;110;621.0;538.0;0;1782901288603
MOUSE;1;6;0;800;110;652.0;540.0;0;1782901288619
MOUSE;1;6;0;800;110;705.0;540.0;0;1782901288636
MOUSE;1;6;0;800;110;750.0;540.0;0;1782901288653
MOUSE;1;6;0;800;110;774.0;540.0;0;1782901288670
MOUSE;1;6;0;800;110;806.0;540.0;0;1782901288686
MOUSE;1;6;0;800;110;834.0;542.0;0;1782901288703
MOUSE;1;6;0;800;110;863.0;547.0;0;1782901288720
MOUSE;1;6;0;800;110;909.0;548.0;0;1782901288737
MOUSE;1;6;0;800;110;968.0;548.0;0;1782901288753
MOUSE;1;6;0;800;110;1059.0;541.0;0;1782901288770
MOUSE;1;6;0;800;110;1149.0;536.0;0;1782901288787
MOUSE;1;6;0;800;110;1198.0;534.0;0;1782901288803
MOUSE;1;6;0;800;110;1265.0;535.0;0;1782901288819
MOUSE;1;6;0;800;110;1300.0;536.0;0;1782901288838
MOUSE;1;6;0;800;110;1338.0;536.0;0;1782901288854
MOUSE;2;6;0;800;110;574.0;536.0;0;1782901289813
MOUSE;2;6;0;800;110;615.0;536.0;0;1782901289828
MOUSE;2;6;0;800;110;653.0;536.0;0;1782901289845
MOUSE;2;6;0;800;110;683.0;537.0;0;1782901289860
MOUSE;2;6;0;800;110;707.0;537.0;0;1782901289877
MOUSE;2;6;0;800;110;734.0;537.0;0;1782901289894
MOUSE;2;6;0;800;110;800.0;534.0;0;1782901289911
MOUSE;2;6;0;800;110;869.0;532.0;0;1782901289928
MOUSE;2;6;0;800;110;934.0;530.0;0;1782901289945
MOUSE;2;6;0;800;110;980.0;531.0;0;1782901289961
MOUSE;2;6;0;800;110;1015.0;535.0;0;1782901289979
MOUSE;2;6;0;800;110;1038.0;538.0;0;1782901289996
MOUSE;2;6;0;800;110;1094.0;540.0;0;1782901290013
MOUSE;2;6;0;800;110;1146.0;542.0;0;1782901290029
MOUSE;2;6;0;800;110;1198.0;542.0;0;1782901290046
MOUSE;2;6;0;800;110;1227.0;542.0;0;1782901290064
MOUSE;2;6;0;800;110;1261.0;542.0;0;1782901290080
MOUSE;2;6;0;800;110;1305.0;542.0;0;1782901290097
MOUSE;2;6;0;800;110;1329.0;542.0;0;1782901290113
MOUSE;3;6;0;800;110;600.0;525.0;0;1782901290958
MOUSE;3;6;0;800;110;625.0;525.0;0;1782901290974
MOUSE;3;6;0;800;110;652.0;526.0;0;1782901290991
MOUSE;3;6;0;800;110;692.0;526.0;0;1782901291007
MOUSE;3;6;0;800;110;730.0;526.0;0;1782901291024
MOUSE;3;6;0;800;110;767.0;526.0;0;1782901291041
MOUSE;3;6;0;800;110;792.0;526.0;0;1782901291057
MOUSE;3;6;0;800;110;821.0;526.0;0;1782901291074
MOUSE;3;6;0;800;110;828.0;526.0;0;1782901291091
MOUSE;3;6;0;800;110;833.0;527.0;0;1782901291108
MOUSE;3;6;0;800;110;844.0;527.0;0;1782901291125
MOUSE;3;6;0;800;110;862.0;527.0;0;1782901291141
MOUSE;3;6;0;800;110;889.0;526.0;0;1782901291158
MOUSE;3;6;0;800;110;915.0;526.0;0;1782901291175
MOUSE;3;6;0;800;110;930.0;528.0;0;1782901291191
MOUSE;3;6;0;800;110;947.0;532.0;0;1782901291207
MOUSE;3;6;0;800;110;972.0;535.0;0;1782901291225
MOUSE;3;6;0;800;110;1038.0;536.0;0;1782901291241
MOUSE;3;6;0;800;110;1124.0;533.0;0;1782901291258
MOUSE;3;6;0;800;110;1218.0;526.0;0;1782901291275
MOUSE;3;6;0;800;110;1279.0;526.0;0;1782901291292
MOUSE;3;6;0;800;110;1318.0;526.0;0;1782901291309
MOUSE;3;6;0;800;110;1334.0;526.0;0;1782901291325
MOUSE;3;6;0;800;110;1358.0;526.0;0;1782901291341
